@RELATION ../FichierARFF

@ATTRIBUTE NbPixelsNoirs numeric
@ATTRIBUTE NbPixelsNoirs_1 numeric
@ATTRIBUTE NbPixelsNoirs_2 numeric
@ATTRIBUTE NbPixelsNoirs_3 numeric
@ATTRIBUTE NbPixelsNoirs_4 numeric
@ATTRIBUTE NbPixelsNoirs_5 numeric
@ATTRIBUTE NbPixelsNoirs_6 numeric
@ATTRIBUTE NbPixelsNoirs_7 numeric
@ATTRIBUTE NbPixelsNoirs_8 numeric
@ATTRIBUTE NbPixelsNoirs_9 numeric
@ATTRIBUTE Hauteur numeric
@ATTRIBUTE Largeur numeric
@ATTRIBUTE Air numeric
@ATTRIBUTE barycentreX numeric
@ATTRIBUTE barycentreY numeric
@ATTRIBUTE 1nbCercles numeric
@ATTRIBUTE 1CercleSize numeric
@ATTRIBUTE 1CercleX numeric
@ATTRIBUTE 1CercleY numeric
@ATTRIBUTE 2nbCercles numeric
@ATTRIBUTE 2CercleSize numeric
@ATTRIBUTE 2CercleX numeric
@ATTRIBUTE 2CercleY numeric
@ATTRIBUTE 3nbCercles numeric
@ATTRIBUTE 3CercleSize numeric
@ATTRIBUTE 3CercleX numeric
@ATTRIBUTE 3CercleY numeric
@ATTRIBUTE 4nbCercles numeric
@ATTRIBUTE 4CercleSize numeric
@ATTRIBUTE 4CercleX numeric
@ATTRIBUTE 4CercleY numeric
@ATTRIBUTE 5nbCercles numeric
@ATTRIBUTE 5CercleSize numeric
@ATTRIBUTE 5CercleX numeric
@ATTRIBUTE 5CercleY numeric
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire, fireBrigade, flood, gas, injury, paramedics, person, police, roadBlock}

@DATA
4186,404,443,665,479,421,598,0,565,654,227,200,54881,122,206,1,70,71,163,1,70,71,163,0,-1,-1,-1,0,-1,-1,-1,1,70,71,163,accident
5175,589,473,759,532,458,926,220,533,763,191,192,2319.5,115,209,1,116,123,162,1,116,123,162,0,-1,-1,-1,0,-1,-1,-1,1,116,123,162,accident
4883,406,499,803,747,393,656,66,540,789,193,201,2459,138,193,1,90,115,149,1,90,115,149,0,-1,-1,-1,0,-1,-1,-1,1,90,115,149,accident
5568,275,574,884,932,442,767,372,549,834,174,182,41153.5,130,149,1,112,107,142,1,112,107,142,0,-1,-1,-1,0,-1,-1,-1,1,112,107,142,accident
5317,492,536,826,783,451,845,36,658,730,193,181,43114,101,27,1,60,143,129,0,-1,-1,-1,1,60,143,129,0,-1,-1,-1,1,60,143,129,accident
4204,0,450,500,655,372,479,593,451,646,147,190,1822,117,246,1,49,183,119,0,-1,-1,-1,1,49,183,119,1,49,183,119,0,-1,-1,-1,accident
3905,19,448,269,638,378,695,467,445,578,132,200,1870.5,120,224,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
3608,0,415,480,557,272,521,426,434,524,160,216,2021.5,201,246,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4276,42,569,383,786,358,533,470,533,694,144,185,1819,112,245,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4544,183,468,577,748,406,695,330,510,618,141,194,2079,101,234,1,29,109,215,1,29,109,215,0,-1,-1,-1,0,-1,-1,-1,1,29,109,215,accident
9510,0,796,1281,1818,1914,1618,0,601,1557,61,73,3147,24,216,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
8285,174,964,1688,1791,951,1555,6,753,645,65,91,971.5,104,173,1,100,131,118,0,-1,-1,-1,1,100,131,118,1,100,131,118,0,-1,-1,-1,accident
6581,0,825,1187,1089,690,1276,649,689,790,71,91,664.5,131,202,1,85,105,150,1,85,105,150,0,-1,-1,-1,0,-1,-1,-1,1,85,105,150,accident
7341,11,952,1299,1401,728,847,506,949,964,68,89,699.5,125,192,1,85,116,151,1,85,116,151,0,-1,-1,-1,0,-1,-1,-1,1,85,116,151,accident
9927,488,1141,1957,855,1211,1460,1327,943,998,72,75,681.5,101,167,1,92,139,107,0,-1,-1,-1,1,92,139,107,1,92,139,107,0,-1,-1,-1,accident
4428,358,434,628,516,402,625,439,448,641,174,204,2236,113,200,1,59,143,72,0,-1,-1,-1,1,59,143,72,1,59,143,72,0,-1,-1,-1,accident
3618,207,425,534,663,264,612,161,408,361,142,208,1956,99,218,1,97,104,143,1,97,104,143,0,-1,-1,-1,0,-1,-1,-1,1,97,104,143,accident
4736,456,479,778,547,345,782,270,470,644,198,196,2333.5,113,188,1,112,128,157,0,-1,-1,-1,1,112,128,157,0,-1,-1,-1,1,112,128,157,accident
4298,315,496,677,545,279,642,239,495,596,170,197,2064,116,195,1,111,109,156,1,111,109,156,0,-1,-1,-1,0,-1,-1,-1,1,111,109,156,accident
4738,373,516,818,713,307,707,232,578,622,180,193,43192,97,1,1,106,134,161,0,-1,-1,-1,1,106,134,161,0,-1,-1,-1,1,106,134,161,accident
4806,321,540,785,633,321,691,480,493,602,154,172,1736,130,191,1,46,165,88,0,-1,-1,-1,1,46,165,88,1,46,165,88,0,-1,-1,-1,accident
4951,81,483,752,782,493,828,544,451,506,127,169,30119.5,131,138,2,72,131,120,1,92,97,148,1,51,165,91,1,51,165,91,1,92,97,148,accident
5952,705,635,839,760,398,1053,550,465,615,110,141,22706.5,126,134,1,122,102,114,1,122,102,114,0,-1,-1,-1,1,122,102,114,0,-1,-1,-1,accident
6063,653,616,1030,749,535,907,601,514,512,108,141,1423,52,204,2,72,123,126,1,71,109,171,1,73,137,80,1,73,137,80,1,71,109,171,accident
7416,315,673,1387,912,682,1459,733,568,734,112,135,1661.5,101,195,1,92,130,142,0,-1,-1,-1,1,92,130,142,0,-1,-1,-1,1,92,130,142,accident
6409,902,662,636,792,801,929,0,716,997,113,122,1148,101,213,1,51,139,131,0,-1,-1,-1,1,51,139,131,0,-1,-1,-1,1,51,139,131,accident
6867,0,255,690,1557,1177,1407,116,816,826,67,109,983.5,52,228,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5922,0,8,478,1027,1289,1081,669,582,795,79,119,1004,123,197,1,33,121,137,1,33,121,137,0,-1,-1,-1,0,-1,-1,-1,1,33,121,137,accident
7993,19,733,1249,1586,1519,1428,0,348,1062,71,97,903,98,207,1,75,148,158,0,-1,-1,-1,1,75,148,158,0,-1,-1,-1,1,75,148,158,accident
7964,47,878,949,1816,922,1643,160,1296,274,88,101,1008,105,188,2,43,124,140,1,39,87,160,1,47,161,119,1,47,161,119,1,39,87,160,accident
5622,2,526,846,1299,224,920,385,626,796,140,148,1424.5,12,245,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4513,1,178,505,1267,702,758,53,565,636,99,137,965.5,37,232,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6118,0,130,1133,872,1105,920,510,713,745,97,111,876.5,91,224,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5600,0,22,917,728,1067,981,640,658,576,104,129,1067.5,111,191,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5762,0,409,784,1102,833,842,425,713,673,94,121,976.5,160,225,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6527,148,671,970,1167,662,1177,0,599,1092,130,116,1290.5,23,213,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6887,0,393,759,1417,1115,1155,71,701,1216,114,118,1160,131,194,1,28,153,130,0,-1,-1,-1,1,28,153,130,0,-1,-1,-1,1,28,153,130,accident
6457,0,277,907,1084,1479,1229,0,473,1055,121,113,1137,128,187,1,19,104,155,1,19,104,155,0,-1,-1,-1,0,-1,-1,-1,1,19,104,155,accident
7066,248,733,1011,1498,763,1088,9,688,969,92,119,1183.5,118,202,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6806,0,181,1137,1086,1086,1065,329,686,1135,125,133,1459.5,96,240,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5434,287,632,818,1098,626,601,0,439,847,116,133,1131,125,125,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5172,16,512,643,976,521,851,377,583,687,91,142,1205,46,237,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4871,0,295,546,1355,822,837,4,485,575,92,138,1092.5,99,242,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5577,0,358,842,1166,703,1136,3,570,767,115,144,1335,162,236,1,55,133,149,0,-1,-1,-1,1,55,133,149,0,-1,-1,-1,1,55,133,149,accident
5639,0,22,879,1090,1130,900,33,580,930,99,134,1157.5,94,238,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4017,0,409,762,566,504,620,104,766,426,147,121,1018,91,218,1,34,176,134,0,-1,-1,-1,1,34,176,134,0,-1,-1,-1,1,34,176,134,accident
5456,202,718,910,1110,638,850,0,908,545,108,91,751.5,88,201,1,17,135,107,0,-1,-1,-1,1,17,135,107,1,17,135,107,0,-1,-1,-1,accident
6170,198,881,886,1235,813,796,0,852,815,105,86,852,167,210,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5433,15,638,893,1113,600,754,7,856,581,129,112,1097,75,218,1,45,168,125,0,-1,-1,-1,1,45,168,125,0,-1,-1,-1,1,45,168,125,accident
2723,297,734,488,287,799,262,0,0,4,169,114,917.5,51,172,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4983,285,710,460,792,528,609,0,737,829,126,101,956,120,188,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5094,475,1071,586,424,634,696,0,818,469,108,77,689.5,85,185,1,43,119,117,1,43,119,117,0,-1,-1,-1,1,43,119,117,0,-1,-1,-1,accident
5286,122,787,673,794,803,799,0,709,780,103,76,654.5,104,208,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6610,723,821,897,1012,395,946,0,925,871,95,92,691,87,237,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5041,505,628,534,848,444,696,0,902,545,122,97,883,209,197,1,93,79,132,1,93,79,132,0,-1,-1,-1,0,-1,-1,-1,1,93,79,132,accident
11097,401,1370,1179,2775,1348,1224,303,1970,1157,37,45,260.5,91,237,1,95,118,143,1,95,118,143,0,-1,-1,-1,0,-1,-1,-1,1,95,118,143,accident
14575,1501,1846,1229,1430,2474,1675,14,2167,3117,36,30,266.5,121,140,1,29,141,134,0,-1,-1,-1,1,29,141,134,0,-1,-1,-1,1,29,141,134,accident
13177,1325,1521,1558,2178,1332,1436,372,2050,1801,40,44,292.5,12,225,1,88,149,162,0,-1,-1,-1,1,88,149,162,0,-1,-1,-1,1,88,149,162,accident
10931,1026,1219,1044,2209,791,1064,533,1961,1506,51,51,323.5,70,232,1,108,70,132,1,108,70,132,0,-1,-1,-1,0,-1,-1,-1,1,108,70,132,accident
9138,828,1389,869,1927,920,1170,3,1309,1417,54,63,454,62,244,1,19,79,122,1,19,79,122,0,-1,-1,-1,1,19,79,122,0,-1,-1,-1,accident
3951,1,422,699,783,433,490,0,552,599,197,175,1836.5,108,224,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
3240,0,272,536,520,491,426,0,546,466,203,151,1582.5,108,207,1,23,129,104,0,-1,-1,-1,1,23,129,104,1,23,129,104,0,-1,-1,-1,accident
3287,192,381,463,581,295,361,1,516,528,205,179,1626,0,230,1,28,73,124,1,28,73,124,0,-1,-1,-1,0,-1,-1,-1,1,28,73,124,accident
3834,262,409,597,639,304,451,90,515,581,199,189,1796.5,128,232,1,107,85,125,1,107,85,125,0,-1,-1,-1,0,-1,-1,-1,1,107,85,125,accident
2965,79,401,437,595,131,337,172,447,378,220,190,1764.5,41,222,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5892,355,657,640,1492,423,784,0,864,943,98,96,617,105,241,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5675,483,544,590,1076,496,839,0,685,1108,103,85,675.5,110,215,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4645,118,709,359,964,440,630,0,737,743,125,100,842,58,223,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4419,114,558,271,1279,550,522,0,666,480,117,137,919.5,86,248,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4490,55,592,373,956,390,670,16,628,889,136,117,963,2,194,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6324,177,768,1041,1439,387,571,206,1056,962,101,92,750.5,136,132,1,118,153,118,0,-1,-1,-1,1,118,153,118,1,118,153,118,0,-1,-1,-1,accident
5061,124,695,469,1097,469,679,0,772,775,128,98,996,125,166,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4799,17,697,541,1015,594,590,6,674,704,132,98,985,107,210,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5684,388,669,763,954,746,590,0,637,973,120,109,997.5,2,235,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6884,694,727,804,1289,584,902,106,986,809,110,107,984,103,230,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
9434,744,1265,1045,1795,1038,1164,12,1847,1311,62,50,461.5,2,193,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
12631,1321,1470,1090,2591,1153,1655,128,1754,1849,54,56,491.5,95,238,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
9746,1063,1072,1096,1562,744,1372,98,2045,891,62,51,461,2,177,1,104,78,122,1,104,78,122,0,-1,-1,-1,1,104,78,122,0,-1,-1,-1,accident
8074,263,987,371,2228,974,1273,2,1346,1026,56,69,451.5,24,200,1,59,112,182,1,59,112,182,0,-1,-1,-1,0,-1,-1,-1,1,59,112,182,accident
9652,679,1114,586,2048,1151,993,27,1371,1728,68,70,572.5,112,243,1,35,143,131,0,-1,-1,-1,1,35,143,131,0,-1,-1,-1,1,35,143,131,accident
6558,276,817,919,1244,502,928,28,1227,875,104,78,870.5,115,207,1,71,159,126,0,-1,-1,-1,1,71,159,126,0,-1,-1,-1,1,71,159,126,accident
5155,298,641,326,727,887,734,0,877,723,126,83,1050,210,202,1,81,98,160,1,81,98,160,0,-1,-1,-1,0,-1,-1,-1,1,81,98,160,accident
5107,44,691,344,1052,757,895,0,698,797,128,109,1002.5,114,222,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6006,408,751,970,1223,330,755,3,1081,599,114,103,953,92,219,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6144,597,704,702,955,897,735,0,794,753,118,106,1022.5,107,227,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
7010,9,660,937,1543,1073,911,0,841,1153,107,108,956.5,6,244,1,68,121,169,1,68,121,169,0,-1,-1,-1,0,-1,-1,-1,1,68,121,169,accident
5645,407,794,282,1010,738,878,0,837,798,110,88,851.5,125,214,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
7449,385,867,1141,1488,652,811,0,953,1150,87,93,809.5,101,101,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6191,354,731,498,1169,769,605,2,881,1049,111,111,922,126,245,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6862,561,744,601,1626,614,922,0,725,1141,99,105,924,192,244,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
2809,40,378,367,644,224,268,51,484,392,247,235,2077.5,119,214,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
3197,26,382,466,726,200,399,65,504,537,224,199,1920,140,205,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
3326,196,342,450,872,199,363,1,436,512,218,221,1897,125,125,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
3726,220,408,652,726,240,462,50,527,517,213,216,2085,239,227,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
2933,87,339,271,703,191,346,2,454,584,225,233,1832,53,238,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5233,317,659,615,1425,275,681,0,638,1142,125,122,955,118,239,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4719,197,601,493,877,592,556,6,875,751,136,112,1079,2,185,1,108,154,117,0,-1,-1,-1,1,108,154,117,1,108,154,117,0,-1,-1,-1,accident
4254,432,568,393,717,379,536,0,734,654,145,113,1082,1,218,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5004,57,671,796,1023,484,598,0,722,680,140,126,1165,10,234,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4428,307,570,464,904,394,607,9,785,621,141,118,990.5,46,213,1,36,91,141,1,36,91,141,0,-1,-1,-1,0,-1,-1,-1,1,36,91,141,accident
9086,0,551,1824,864,1228,1257,599,1139,1689,99,91,1129.5,43,214,1,22,159,170,0,-1,-1,-1,1,22,159,170,0,-1,-1,-1,1,22,159,170,accident
7136,398,824,1126,1088,966,1051,0,769,1003,127,102,1474,98,140,1,70,98,124,1,70,98,124,0,-1,-1,-1,0,-1,-1,-1,1,70,98,124,accident
7496,608,820,1314,1391,539,1384,119,1132,439,128,125,1552.5,100,188,1,91,129,117,0,-1,-1,-1,1,91,129,117,1,91,129,117,0,-1,-1,-1,accident
7841,0,680,1305,1490,1379,1391,0,446,1254,95,119,1414.5,116,213,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
9767,266,1086,1595,1305,1670,1934,0,124,1667,101,88,6344.5,106,156,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5582,4,592,1065,723,426,939,398,629,861,171,170,2059.5,135,201,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6809,518,668,1253,843,420,1181,209,878,850,153,152,2038,124,197,1,20,118,195,1,20,118,195,0,-1,-1,-1,0,-1,-1,-1,1,20,118,195,accident
7423,249,707,1250,1268,709,1257,28,876,1152,132,141,1951.5,127,214,1,23,129,152,0,-1,-1,-1,1,23,129,152,0,-1,-1,-1,1,23,129,152,accident
5051,8,541,774,1117,539,965,124,619,349,124,173,1923.5,134,196,1,59,155,170,0,-1,-1,-1,1,59,155,170,0,-1,-1,-1,1,59,155,170,accident
6439,2,546,1010,1382,633,1304,0,748,700,106,141,1638,122,218,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
7662,577,798,1288,823,905,1373,0,813,1035,115,118,1277.5,107,210,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6014,61,682,829,1260,883,1298,0,326,569,82,127,1214.5,106,207,1,22,113,209,1,22,113,209,0,-1,-1,-1,0,-1,-1,-1,1,22,113,209,accident
6628,0,424,1109,858,697,1142,725,805,924,90,124,1273,120,215,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
7684,707,881,1275,653,1139,1743,0,336,908,107,119,1405,87,165,1,37,119,140,1,37,119,140,0,-1,-1,-1,0,-1,-1,-1,1,37,119,140,accident
7667,208,880,1227,943,576,1389,411,909,1130,109,125,1526,118,227,1,50,95,190,1,50,95,190,0,-1,-1,-1,0,-1,-1,-1,1,50,95,190,accident
5638,0,440,1020,342,537,1216,615,710,949,108,115,849,60,144,1,75,151,111,0,-1,-1,-1,1,75,151,111,1,75,151,111,0,-1,-1,-1,accident
5583,289,599,880,1149,541,1077,58,788,448,136,138,1249.5,82,228,1,51,87,153,1,51,87,153,0,-1,-1,-1,0,-1,-1,-1,1,51,87,153,accident
6595,296,754,1168,911,581,1190,444,863,568,97,109,913,135,210,1,37,82,134,1,37,82,134,0,-1,-1,-1,0,-1,-1,-1,1,37,82,134,accident
5460,251,646,976,795,441,1196,180,862,418,131,121,1162,110,215,1,101,83,137,1,101,83,137,0,-1,-1,-1,0,-1,-1,-1,1,101,83,137,accident
7041,83,777,1137,1197,994,934,272,881,933,120,117,1246.5,94,221,1,109,96,137,1,109,96,137,0,-1,-1,-1,0,-1,-1,-1,1,109,96,137,accident
5883,73,609,971,1093,532,1119,1,704,792,145,149,1589,142,215,2,30,129,166,0,-1,-1,-1,2,30,129,166,1,37,133,120,1,23,124,211,accident
5932,0,412,661,1508,1236,1000,0,619,415,108,143,1572,64,247,2,44,137,172,1,46,103,146,1,42,171,198,0,-1,-1,-1,2,44,137,172,accident
6708,0,404,922,1345,1228,1321,0,394,943,107,131,1440,161,216,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
7359,86,825,1113,1485,761,1634,0,755,583,101,112,1111.5,102,240,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6305,0,678,1263,1083,780,929,628,777,318,120,115,1114,18,229,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
4949,346,620,1103,872,422,814,2,821,262,127,113,942.5,106,172,1,94,61,130,1,94,61,130,0,-1,-1,-1,0,-1,-1,-1,1,94,61,130,accident
5096,90,601,933,528,420,1257,299,754,678,124,126,916,100,195,1,67,124,119,0,-1,-1,-1,1,67,124,119,1,67,124,119,0,-1,-1,-1,accident
5353,0,503,1033,870,230,1418,292,689,525,112,119,871,135,188,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
5065,109,707,959,886,328,809,374,758,383,133,127,1086.5,109,213,2,76,154,147,0,-1,-1,-1,2,76,154,147,1,45,174,107,1,107,134,186,accident
5562,272,574,788,843,567,1020,348,608,630,154,133,1552,124,143,2,53,133,135,1,50,88,138,1,56,177,132,0,-1,-1,-1,2,53,133,135,accident
6997,135,760,1190,1190,776,870,144,882,1129,133,130,1519.5,125,159,1,12,129,163,0,-1,-1,-1,1,12,129,163,0,-1,-1,-1,1,12,129,163,accident
